"var_1";"translate"
"Huyện Thạnh Phú";"Thanh Phu"
"Thành phố Rạch Giá";"Rach Gia"
"Thị xã Hà Tiên";"Ha Tien"
"Huyện Kiên Lương";"Kien Luong"
"Huyện Hòn Đất";"Hon Dat"
"Huyện Tân Hiệp";"Tan Hiep"
"Huyện Giồng Riềng";"Giong Rieng"
"Huyện Gò Quao";"Go Quao"
"Huyện An Biên";"An Bien"
"Huyện An Minh";"An Minh"
"Huyện Vĩnh Thuận";"Vinh Thuan"
"Huyện Phú Quốc";"Phu Quoc"
"Huyện Kiên Hải";"Kien Hai"
"Huyện U Minh Thượng";"U Minh Thuong"
"Huyện Giang Thành";"Giang Thanh"
"Quận Ninh Kiều";"Ninh Kieu"
"Quận Ô Môn";"O Mon"
"Quận Bình Thủy";"Binh Thuy"
"Quận Cái Răng";"Cai Rang"
"Quận Thốt Nốt";"Thot Not"
"Huyện Cờ Đỏ";"Co Do"
"Huyện Thới Lai";"Thoi Lai"
"Thành phố Vị Thanh";"Vi Thanh"
"Thị xã Ngã Bảy";"Nga Bay"
"Huyện Châu Thành A";"Chau Thanh A"
"Huyện Phụng Hiệp";"Phung Hiep"
"Huyện Vị Thủy";"Vi Thuy"
"Huyện Long Mỹ";"Long My"
"Thành phố Trà Vinh";"Tra Vinh"
"Huyện Càng Long";"Cang Long"
"Huyện Cầu Kè";"Cau Ke"
"Huyện Tiểu Cần";"Tieu Can"
"Huyện Cầu Ngang";"Cau Ngang"
"Huyện Trà Cú";"Tra Cu"
"Huyện Duyên Hải";"Duyen Hai"
"Thành phố Sóc Trăng";"Soc Trang"
"Huyện Kế Sách";"Ke Sach"
"Huyện Long Phú";"Long Phu"
"Huyện Cù Lao Dung";"Cu Lao Dung"
"Huyện Mỹ Tú";"My Tu"
"Huyện Mỹ Xuyên";"My Xuyen"
"Huyện Thạnh Trị";"Thanh Tri"
"Thị xã Ngã Năm";"Nga Nam"
"Thị xã Vĩnh Châu";"Vinh Chau"
"Huyện Trần Đề";"Tran De"
"Thành phố Bạc Liêu";"Bac Lieu"
"Huyện Phước Long";"Phuoc Long"
"Huyện Hồng Dân";"Hong Dan"
"Huyện Vĩnh Lợi";"Vinh Loi"
"Huyện Hòa Bình";"Hoa Binh"
"Huyện Giá Rai";"Gia Rai"
"Huyện Đông Hải";"Dong Hai"
"Thành phố Cà Mau";"Ca Mau"
"Huyện Thới Bình";"Thoi Binh"
"Huyện U Minh";"U Minh"
"Huyện Trần Văn Thời";"Tran Van Thoi"
"Huyện Cái Nước";"Cai Nuoc"
"Huyện Đầm Dơi";"Dam Doi"
"Huyện Ngọc Hiển";"Ngoc Hien"
"Huyện Năm Căn";"Nam Can"
NA;NA
"Ba Đình";"Ba Dinh"
"Tây Hồ";"Tay Ho"
"Hoàn Kiếm";"Hoan Kiem"
"Hai Bà Trưng";"Hai Ba Trung"
"Hoàng Mai";"Hoang Mai"
"Đống Đa";"Dong Da"
"Thanh Xuân";"Thanh Xuan"
"Cầu Giấy";"Cau Giay"
"Long Biên";"Long Bien"
"Sóc Sơn";"Soc Son"
"Đông Anh";"Dong Anh"
"Gia Lâm";"Gia Lam"
"Nam Từ Liêm";"Nam Tu Liem"
"Thanh Trì";"Thanh Tri"
"Hà Đông";"Ha Dong"
"Sơn Tây";"Son Tay"
"Ba Vì";"Ba Vi"
"Phúc Thọ";"Phuc Tho"
"Đan Phượng";"Dan Phuong"
"Thạch Thất";"Thach That"
"Hoài Đức";"Hoai Duc"
"Quốc Oai";"Quoc Oai"
"Chương Mỹ";"Chuong My"
"Thanh Oai";"Thanh Oai"
"Thường Tín";"Thuong Tin"
"Mỹ Đức";"My Duc"
"Ứng Hòa";"Ung Hoa"
"Phú Xuyên";"Phu Xuyen"
"Mê Linh";"Me Linh"
"Bắc Từ Liêm";"Bac Tu Liem"
"Hồng Bàng";"Hong Bang"
"Ngô Quyền";"Ngo Quyen"
"Lê Chân";"Le Chan"
"Kiến An";"Kien An"
"Đồ Sơn";"Do Son"
"Dương Kinh";"Duong Kinh"
"Thủy Nguyên";"Thuy Nguyen"
"An Dương";"An Duong"
"Hải An";"Hai An"
"An Lão";"An Lao"
"Kiến Thụy";"Kien Thuy"
"Tiên Lãng";"Tien Lang"
"Vĩnh Bảo";"Vinh Bao"
"Cát Hải";"Cat Hai"
"Vĩnh Yên";"Vinh Yen"
"Phúc Yên";"Phuc Yen"
"Lập Thạch";"Lap Thach"
"Tam Đảo";"Tam Dao"
"Tam Dương";"Tam Duong"
"Bình Xuyên";"Binh Xuyen"
"Vĩnh Tường";"Vinh Tuong"
"Yên Lạc";"Yen Lac"
"Sông Lô";"Song Lo"
"Bắc Ninh";"Bac Ninh"
"Yên Phong";"Yen Phong"
"Quế Võ";"Que Vo"
"Tiên Du";"Tien Du"
"Từ Sơn";"Tu Son"
"Thuận Thành";"Thuan Thanh"
"Lương Tài";"Luong Tai"
"Gia Bình";"Gia Binh"
"Hải Dương";"Hai Duong"
"Chí Linh";"Chi Linh"
"Nam Sách";"Nam Sach"
"Thanh Hà";"Thanh Ha"
"Kinh Môn";"Kinh Mon"
"Kim Thành";"Kim Thanh"
"Gia Lộc";"Gia Loc"
"Tứ Kỳ";"Tu Ky"
"Cẩm Giàng";"Cam Giang"
"Bình Giang";"Binh Giang"
"Thanh Miện";"Thanh Mien"
"Ninh Giang";"Ninh Giang"
"Hưng Yên";"Hung Yen"
"Văn Lâm";"Van Lam"
"Mỹ Hào";"My Hao"
"Yên Mỹ";"Yen My"
"Văn Giang";"Van Giang"
"Khoái Châu";"Khoai Chau"
"Ân Thi";"An Thi"
"Kim Động";"Kim Dong"
"Phù Cừ";"Phu Cu"
"Tiên Lữ";"Tien Lu"
"Phủ Lý";"Phu Ly"
"Duy Tiên";"Duy Tien"
"Kim Bảng";"Kim Bang"
"Lý Nhân";"Ly Nhan"
"Thanh Liêm";"Thanh Liem"
"Bình Lục";"Binh Luc"
"Nam Định";"Nam Dinh"
"Vụ Bản";"Vu Ban"
"Mỹ Lộc";"My Loc"
"Ý Yên";"Y Yen"
"Nam Trực";"Nam Truc"
"Trực Ninh";"Truc Ninh"
"Xuân Trường";"Xuan Truong"
"Giao Thủy";"Giao Thuy"
"Nghĩa Hưng";"Nghia Hung"
"Hải Hậu";"Hai Hau"
"Thái Bình";"Thai Binh"
"Quỳnh Phụ";"Quynh Phu"
"Hưng Hà";"Hung Ha"
"Thái Thụy";"Thai Thuy"
"Đông Hưng";"Dong Hung"
"Vũ Thư";"Vu Thu"
"Kiến Xương";"Kien Xuong"
"Tiền Hải";"Tien Hai"
"Ninh Bình";"Ninh Binh"
"Tam Điệp";"Tam Diep"
"Nho Quan";"Nho Quan"
"Gia Viễn";"Gia Vien"
"Hoa Lư";"Hoa Lu"
"Yên Mô";"Yen Mo"
"Yên Khánh";"Yen Khanh"
"Kim Sơn";"Kim Son"
"Hà Giang";"Ha Giang"
"Đồng Văn";"Dong Van"
"Mèo Vạc";"Meo Vac"
"Yên Minh";"Yen Minh"
"Quản Bạ";"Quan Ba"
"Bắc Mê";"Bac Me"
"Hoàng Su Phì";"Hoang Su Phi"
"Vị Xuyên";"Vi Xuyen"
"Xín Mần";"Xin Man"
"Bắc Quang";"Bac Quang"
"Quang Bình";"Quang Binh"
"Cao Bằng";"Cao Bang"
"Bảo Lạc";"Bao Lac"
"Bảo Lâm";"Bao Lam"
"Hà Quảng";"Ha Quang"
"Thông Nông";"Thong Nong"
"Trà Lĩnh";"Tra Linh"
"Trùng Khánh";"Trung Khanh"
"Nguyên Bình";"Nguyen Binh"
"Hòa An";"Hoa An"
"Quảng Uyên";"Quang Uyen"
"Phục Hòa";"Phuc Hoa"
"Hạ Lang";"Ha Lang"
"Thạch An";"Thach An"
"Lào Cai";"Lao Cai"
"Mường Khương";"Muong Khuong"
"Bát Xát";"Bat Xat"
"Si Ma Cai";"Si Ma Cai"
"Bắc Hà";"Bac Ha"
"Bảo Thắng";"Bao Thang"
"Sa Pa";"Sa Pa"
"Bảo Yên";"Bao Yen"
"Văn Bàn";"Van Ban"
"Bắc Kạn";"Bac Kan"
"Ba Bể";"Ba Be"
"Pác Nặm";"Pac Nam"
"Ngân Sơn";"Ngan Son"
"Chợ Đồn";"Cho Don"
"Na Rì";"Na Ri"
"Bạch Thông";"Bach Thong"
"Chợ Mới";"Cho Moi"
"Lạng Sơn";"Lang Son"
"Tràng Định";"Trang Dinh"
"Văn Lãng";"Van Lang"
"Bình Gia";"Binh Gia"
"Bắc Sơn";"Bac Son"
"Văn Quan";"Van Quan"
"Cao Lộc";"Cao Loc"
"Lộc Bình";"Loc Binh"
"Chi Lăng";"Chi Lang"
"Đình Lập";"Dinh Lap"
"Hữu Lũng";"Huu Lung"
"Tuyên Quang";"Tuyen Quang"
"Na Hang";"Na Hang"
"Chiêm Hóa";"Chiem Hoa"
"Hàm Yên";"Ham Yen"
"Yên Sơn";"Yen Son"
"Sơn Dương";"Son Duong"
"Lâm Bình";"Lam Binh"
"Yên Bái";"Yen Bai"
"Nghĩa Lộ";"Nghia Lo"
"Lục Yên";"Luc Yen"
"Văn Yên";"Van Yen"
"Mù Cang Chải";"Mu Cang Chai"
"Trấn Yên";"Tran Yen"
"Yên Bình";"Yen Binh"
"Văn Chấn";"Van Chan"
"Trạm Tấu";"Tram Tau"
"Thái Nguyên";"Thai Nguyen"
"Sông Công";"Song Cong"
"Định Hóa";"Dinh Hoa"
"Võ Nhai";"Vo Nhai"
"Phú Lương";"Phu Luong"
"Đồng Hỷ";"Dong Hy"
"Đại Từ";"Dai Tu"
"Phú Bình";"Phu Binh"
"Phổ Yên";"Pho Yen"
"Việt Trì";"Viet Tri"
"Phú Thọ";"Phu Tho"
"Đoan Hùng";"Doan Hung"
"Hạ Hòa";"Ha Hoa"
"Thanh Ba";"Thanh Ba"
"Phù Ninh";"Phu Ninh"
"Lâm Thao";"Lam Thao"
"Cẩm Khê";"Cam Khe"
"Yên Lập";"Yen Lap"
"Tam Nông";"Tam Nong"
"Thanh Thủy";"Thanh Thuy"
"Thanh Sơn";"Thanh Son"
"Tân Sơn";"Tan Son"
"Bắc Giang";"Bac Giang"
"Yên Thế";"Yen The"
"Tân Yên";"Tan Yen"
"Lục Ngạn";"Luc Ngan"
"Hiệp Hòa";"Hiep Hoa"
"Lạng Giang";"Lang Giang"
"Sơn Động";"Son Dong"
"Lục Nam";"Luc Nam"
"Việt Yên";"Viet Yen"
"Yên Dũng";"Yen Dung"
"Hạ Long";"Ha Long"
"Cẩm Phả";"Cam Pha"
"Uông Bí";"Uong Bi"
"Móng Cái";"Mong Cai"
"Bình Liêu";"Binh Lieu"
"Hải Hà";"Hai Ha"
"Đầm Hà";"Dam Ha"
"Tiên Yên";"Tien Yen"
"Ba Chẽ";"Ba Che"
"Vân Đồn";"Van Don"
"Hoành Bồ";"Hoanh Bo"
"Đông Triều";"Dong Trieu"
"Cô Tô";"Co To"
"Quảng Yên";"Quang Yen"
"Nậm Nhùn";"Nam Nhun"
"Lai Châu";"Lai Chau"
"Mường Tè";"Muong Te"
"Phong Thổ";"Phong Tho"
"Tam Đường";"Tam Duong"
"Sìn Hồ";"Sin Ho"
"Than Uyên";"Than Uyen"
"Tân Uyên";"Tan Uyen"
"Điện Biên Phủ";"Dien Bien Phu"
"Nậm Pồ";"Nam Po"
"Mường Lay";"Muong Lay"
"Mường Nhé";"Muong Nhe"
"Mường Chà";"Muong Cha"
"Tủa Chùa";"Tua Chua"
"Tuần Giáo";"Tuan Giao"
"Mường Ảng";"Muong Ang"
"Điện Biên";"Dien Bien"
"Điện Biên Đông";"Dien Bien Dong"
"Sơn La";"Son La"
"Quỳnh Nhai";"Quynh Nhai"
"Mường La";"Muong La"
"Thuận Châu";"Thuan Chau"
"Bắc Yên";"Bac Yen"
"Phù Yên";"Phu Yen"
"Mai Sơn";"Mai Son"
"Sông Mã";"Song Ma"
"Sốp Cộp";"Sop Cop"
"Yên Châu";"Yen Chau"
"Mộc Châu";"Moc Chau"
"Vân Hồ";"Van Ho"
"Hòa Bình";"Hoa Binh"
"Đà Bắc";"Da Bac"
"Mai Châu";"Mai Chau"
"Kỳ Sơn";"Ky Son"
"Lương Sơn";"Luong Son"
"Cao Phong";"Cao Phong"
"Kim Bôi";"Kim Boi"
"Lạc Thủy";"Lac Thuy"
"Tân Lạc";"Tan Lac"
"Lạc Sơn";"Lac Son"
"Yên Thủy";"Yen Thuy"
"Thanh Hóa";"Thanh Hoa"
"Bỉm Sơn";"Bim Son"
"Sầm Sơn";"Sam Son"
"Mường Lát";"Muong Lat"
"Quan Hóa";"Quan Hoa"
"Quan Sơn";"Quan Son"
"Bá Thước";"Ba Thuoc"
"Cẩm Thủy";"Cam Thuy"
"Lang Chánh";"Lang Chanh"
"Thạch Thành";"Thach Thanh"
"Ngọc Lặc";"Ngoc Lac"
"Thường Xuân";"Thuong Xuan"
"Như Xuân";"Nhu Xuan"
"Như Thanh";"Nhu Thanh"
"Vĩnh Lộc";"Vinh Loc"
"Hà Trung";"Ha Trung"
"Nga Sơn";"Nga Son"
"Yên Định";"Yen Dinh"
"Thọ Xuân";"Tho Xuan"
"Hậu Lộc";"Hau Loc"
"Thiệu Hóa";"Thieu Hoa"
"Hoằng Hóa";"Hoang Hoa"
"Đông Sơn";"Dong Son"
"Triệu Sơn";"Trieu Son"
"Quảng Xương";"Quang Xuong"
"Nông Cống";"Nong Cong"
"Tĩnh Gia";"Tinh Gia"
"Vinh";"Vinh"
"Cửa Lò";"Cua Lo"
"Quế Phong";"Que Phong"
"Quỳ Châu";"Quy Chau"
"Quỳ Hợp";"Quy Hop"
"Nghĩa Đàn";"Nghia Dan"
"Thái Hòa";"Thai Hoa"
"Tương Dương";"Tuong Duong"
"Quỳnh Lưu";"Quynh Luu"
"Tân Kỳ";"Tan Ky"
"Con Cuông";"Con Cuong"
"Yên Thành";"Yen Thanh"
"Diễn Châu";"Dien Chau"
"Anh Sơn";"Anh Son"
"Đô Lương";"Do Luong"
"Thanh Chương";"Thanh Chuong"
"Nghi Lộc";"Nghi Loc"
"Nam Đàn";"Nam Dan"
"Hưng Nguyên";"Hung Nguyen"
"Hà Tĩnh";"Ha Tinh"
"Hồng Lĩnh";"Hong Linh"
"Nghi Xuân";"Nghi Xuan"
"Đức Thọ";"Duc Tho"
"Hương Sơn";"Huong Son"
"Vũ Quang";"Vu Quang"
"Can Lộc";"Can Loc"
"Lộc Hà";"Loc Ha"
"Thạch Hà";"Thach Ha"
"Cẩm Xuyên";"Cam Xuyen"
"Hương Khê";"Huong Khe"
"Kỳ Anh";"Ky Anh"
"Đồng Hới";"Dong Hoi"
"Tuyên Hóa";"Tuyen Hoa"
"Minh Hóa";"Minh Hoa"
"Ba Đồn";"Ba Don"
"Quảng Trạch";"Quang Trach"
"Bố Trạch";"Bo Trach"
"Quảng Ninh";"Quang Ninh"
"Lệ Thủy";"Le Thuy"
"Đông Hà";"Dong Ha"
"Quảng Trị";"Quang Tri"
"Vĩnh Linh";"Vinh Linh"
"Gio Linh";"Gio Linh"
"Cam Lộ";"Cam Lo"
"Triệu Phong";"Trieu Phong"
"Hải Lăng";"Hai Lang"
"Hướng Hóa";"Huong Hoa"
"Đa Krông";"Da Krong"
"Huế";"Hue"
"Phong Điền";"Phong Dien"
"Quảng Điền";"Quang Dien"
"Hương Trà";"Huong Tra"
"Phú Vang";"Phu Vang"
"Hương Thủy";"Huong Thuy"
"Phú Lộc";"Phu Loc"
"A Lưới";"A Luoi"
"Nam Đông";"Nam Dong"
"Hải Châu";"Hai Chau"
"Thanh Khê";"Thanh Khe"
"Sơn Trà";"Son Tra"
"Ngũ Hành Sơn";"Ngu Hanh Son"
"Liên Chiểu";"Lien Chieu"
"Hòa Vang";"Hoa Vang"
"Cẩm Lệ";"Cam Le"
"Tam Kỳ";"Tam Ky"
"Hội An";"Hoi An"
"Tây Giang";"Tay Giang"
"Đông Giang";"Dong Giang"
"Đại Lộc";"Dai Loc"
"Điện Bàn";"Dien Ban"
"Duy Xuyên";"Duy Xuyen"
"Nam Giang";"Nam Giang"
"Thăng Bình";"Thang Binh"
"Quế Sơn";"Que Son"
"Nông Sơn";"Nong Son"
"Hiệp Đức";"Hiep Duc"
"Tiên Phước";"Tien Phuoc"
"Phước Sơn";"Phuoc Son"
"Núi Thành";"Nui Thanh"
"Bắc Trà My";"Bac Tra My"
"Nam Trà My";"Nam Tra My"
"Phú Ninh";"Phu Ninh"
"Quảng Ngãi";"Quang Ngai"
"Lý Sơn";"Ly Son"
"Bình Sơn";"Binh Son"
"Trà Bồng";"Tra Bong"
"Tây Trà";"Tay Tra"
"Sơn Tịnh";"Son Tinh"
"Sơn Hà";"Son Ha"
"Tư Nghĩa";"Tu Nghia"
"Nghĩa Hành";"Nghia Hanh"
"Minh Long";"Minh Long"
"Mộ Đức";"Mo Duc"
"Đức Phổ";"Duc Pho"
"Ba Tơ";"Ba To"
"Quy Nhơn";"Quy Nhon"
"Hoài Nhơn";"Hoai Nhon"
"Hoài Ân";"Hoai An"
"Phù Mỹ";"Phu My"
"Vĩnh Thạnh";"Vinh Thanh"
"Phù Cát";"Phu Cat"
"Tây Sơn";"Tay Son"
"An Nhơn";"An Nhon"
"Tuy Phước";"Tuy Phuoc"
"Vân Canh";"Van Canh"
"Tuy Hòa";"Tuy Hoa"
"Đồng Xuân";"Dong Xuan"
"Sông Cầu";"Song Cau"
"Tuy An";"Tuy An"
"Sơn Hòa";"Son Hoa"
"Phú Hòa";"Phu Hoa"
"Tây Hòa";"Tay Hoa"
"Đông Hòa";"Dong Hoa"
"Sông Hinh";"Song Hinh"
"Nha Trang";"Nha Trang"
"Cam Ranh";"Cam Ranh"
"Vạn Ninh";"Van Ninh"
"Ninh Hòa";"Ninh Hoa"
"Diên Khánh";"Dien Khanh"
"Cam Lâm";"Cam Lam"
"Khánh Vĩnh";"Khanh Vinh"
"Khánh Sơn";"Khanh Son"
"Kon Tum";"Kon Tum"
"Đắk Glei";"Dak Glei"
"Ngọc Hồi";"Ngoc Hoi"
"Đắk Tô";"Dak To"
"Kon Rẫy";"Kon Ray"
"Kon Plông";"Kon Plong"
"Đắk Hà";"Dak Ha"
"Sa Thầy";"Sa Thay"
"Tu Mơ Rông";"Tu Mo Rong"
"Pleiku";"Pleiku"
"KBang";"KBang"
"Đắk Đoa";"Dak Doa"
"Mang Yang";"Mang Yang"
"Chư Păh";"Chu Pah"
"Ia Grai";"Ia Grai"
"An Khê";"An Khe"
"Đắk Pơ";"Dak Po"
"Kông Chro";"Kong Chro"
"Đức Cơ";"Duc Co"
"Chư Prông";"Chu Prong"
"Chư Sê";"Chu Se"
"Ayun Pa";"Ayun Pa"
"Ia Pa";"Ia Pa"
"Krông Pa";"Krong Pa"
"Phú Thiện";"Phu Thien"
"Chư Pưh";"Chu Puh"
"Buôn Ma Thuột";"Buon Ma Thuot"
"Buôn Hồ";"Buon Ho"
"Ea H'leo";"Ea H'leo"
"Ea Súp";"Ea Sup"
"Krông Năng";"Krong Nang"
"Krông Búk";"Krong Buk"
"Buôn Đôn";"Buon Don"
"Cư M'gar";"Cu M'gar"
"Ea Kar";"Ea Kar"
"M'Đrắk";"M'Drak"
"Krông Pắc";"Krong Pac"
"Krông A Na";"Krong A Na"
"Cư Kuin";"Cu Kuin"
"Krông Bông";"Krong Bong"
"Lắk";"Lak"
"Gia Nghĩa";"Gia Nghia"
"Cư Jút";"Cu Jut"
"Đắk Mil";"Dak Mil"
"Krông Nô";"Krong No"
"Đắk Song";"Dak Song"
"Đắk R'Lấp";"Dak R'Lap"
"Tuy Đức";"Tuy Duc"
"Đắk Glong";"Dak Glong"
"Đà Lạt";"Da Lat"
"Bảo Lộc";"Bao Loc"
"Lạc Dương";"Lac Duong"
"Đơn Dương";"Don Duong"
"Đức Trọng";"Duc Trong"
"Lâm Hà";"Lam Ha"
"Di Linh";"Di Linh"
"Đạ Huoai";"Da Huoai"
"Đạ Tẻh";"Da Teh"
"Cát Tiên";"Cat Tien"
"Đam Rông";"Dam Rong"
"1";"Quan 1"
"2";"Quan 2"
"3";"Quan 3"
"4";"Quan 4"
"5";"Quan 5"
"6";"Quan 6"
"7";"Quan 7"
"8";"Quan 8"
"9";"Quan 9"
"10";"Quan 10"
"11";"Quan 11"
"12";"Quan 12"
"Gò Vấp";"Go Vap"
"Tân Bình";"Tan Binh"
"Tân Phú";"Tan Phu"
"Bình Thạnh";"Binh Thanh"
"Phú Nhuận";"Phu Nhuan"
"Thủ Đức";"Thu Duc"
"Củ Chi";"Cu Chi"
"Hóc Môn";"Hoc Mon"
"Bình Chánh";"Binh Chanh"
"Bình Tân";"Binh Tan"
"Nhà Bè";"Nha Be"
"Cần Giờ";"Can Gio"
"Phan Rang-Tháp Chàm";"Phan Rang-Thap Cham"
"Ninh Sơn";"Ninh Son"
"Bác Ái";"Bac Ai"
"Ninh Hải";"Ninh Hai"
"Thuận Bắc";"Thuan Bac"
"Ninh Phước";"Ninh Phuoc"
"Thuận Nam";"Thuan Nam"
"Đồng Xoài";"Dong Xoai"
"Đồng Phú";"Dong Phu"
"Phước Long";"Phuoc Long"
"Lộc Ninh";"Loc Ninh"
"Bù Đốp";"Bu Dop"
"Bù Đăng";"Bu Dang"
"Chơn Thành";"Chon Thanh"
"Bình Long";"Binh Long"
"Hớn Quản";"Hon Quan"
"Bù Gia Mập";"Bu Gia Map"
"Tây Ninh";"Tay Ninh"
"Tân Biên";"Tan Bien"
"Tân Châu";"Tan Chau"
"Dương Minh Châu";"Duong Minh Chau"
"Châu Thành";"Chau Thanh"
"Hòa Thành";"Hoa Thanh"
"Bến Cầu";"Ben Cau"
"Gò Dầu";"Go Dau"
"Trảng Bàng";"Trang Bang"
"Thủ Dầu Một";"Thu Dau Mot"
"Dầu Tiếng";"Dau Tieng"
"Bến Cát";"Ben Cat"
"Phú Giáo";"Phu Giao"
"Thuận An";"Thuan An"
"Dĩ An";"Di An"
"Bắc Tân Uyên";"Bac Tan Uyen"
"Bàu Bàng";"Bau Bang"
"Biên Hòa";"Bien Hoa"
"Định Quán";"Dinh Quan"
"Vĩnh Cửu";"Vinh Cuu"
"Thống Nhất";"Thong Nhat"
"Trảng Bom";"Trang Bom"
"Long Khánh";"Long Khanh"
"Cẩm Mỹ";"Cam My"
"Xuân Lộc";"Xuan Loc"
"Long Thành";"Long Thanh"
"Nhơn Trạch";"Nhon Trach"
"Phan Thiết";"Phan Thiet"
"La Gi";"La Gi"
"Tuy Phong";"Tuy Phong"
"Bắc Bình";"Bac Binh"
"Hàm Thuận Bắc";"Ham Thuan Bac"
"Hàm Thuận Nam";"Ham Thuan Nam"
"Tánh Linh";"Tanh Linh"
"Hàm Tân";"Ham Tan"
"Đức Linh";"Duc Linh"
"Phú Quý";"Phu Quy"
"Vũng Tàu";"Vung Tau"
"Bà Rịa";"Ba Ria"
"Châu Đức";"Chau Duc"
"Xuyên Mộc";"Xuyen Moc"
"Tân Thành";"Tan Thanh"
"Đất Đỏ";"Dat Do"
"Long Điền";"Long Dien"
"Tân An";"Tan An"
"Tân Hưng";"Tan Hung"
"Vĩnh Hưng";"Vinh Hung"
"Mộc Hóa";"Moc Hoa"
"Tân Thạnh";"Tan Thanh"
"Thạnh Hóa";"Thanh Hoa"
"Đức Huệ";"Duc Hue"
"Đức Hòa";"Duc Hoa"
"Bến Lức";"Ben Luc"
"Thủ Thừa";"Thu Thua"
"Tân Trụ";"Tan Tru"
"Cần Đước";"Can Duoc"
"Cần Giuộc";"Can Giuoc"
"Kiến Tường";"Kien Tuong"
"Cao Lãnh";"Cao Lanh"
"Sa Đéc";"Sa Dec"
"Tân Hồng";"Tan Hong"
"Hồng Ngự";"Hong Ngu"
"Thanh Bình";"Thanh Binh"
"Tháp Mười";"Thap Muoi"
"Lấp Vò";"Lap Vo"
"Lai Vung";"Lai Vung"
"Long Xuyên";"Long Xuyen"
"Châu Đốc";"Chau Doc"
"An Phú";"An Phu"
"Phú Tân";"Phu Tan"
"Châu Phú";"Chau Phu"
"Tịnh Biên";"Tinh Bien"
"Tri Tôn";"Tri Ton"
"Thoại Sơn";"Thoai Son"
"Mỹ Tho";"My Tho"
"Gò Công";"Go Cong"
"Tân Phước";"Tan Phuoc"
"Cai Lậy";"Cai Lay"
"Chợ Gạo";"Cho Gao"
"Cái Bè";"Cai Be"
"Gò Công Tây";"Go Cong Tay"
"Gò Công Đông";"Go Cong Dong"
"Tân Phú Đông";"Tan Phu Dong"
"Vĩnh Long";"Vinh Long"
"Long Hồ";"Long Ho"
"Mang Thít";"Mang Thit"
"Bình Minh";"Binh Minh"
"Tam Bình";"Tam Binh"
"Trà Ôn";"Tra On"
"Vũng Liêm";"Vung Liem"
"Bến Tre";"Ben Tre"
"Mỏ Cày Nam";"Mo Cay Nam"
"Chợ Lách";"Cho Lach"
"Mỏ Cày Bắc";"Mo Cay Bac"
"Giồng Trôm";"Giong Trom"
"Bình Đại";"Binh Dai"
"Ba Tri";"Ba Tri"
"Thạnh Phú";"Thanh Phu"
"Rạch Giá";"Rach Gia"
"Hà Tiên";"Ha Tien"
"Kiên Lương";"Kien Luong"
"Hòn Đất";"Hon Dat"
"Tân Hiệp";"Tan Hiep"
"Giồng Riềng";"Giong Rieng"
"Gò Quao";"Go Quao"
"An Biên";"An Bien"
"An Minh";"An Minh"
"Vĩnh Thuận";"Vinh Thuan"
"Phú Quốc";"Phu Quoc"
"Kiên Hải";"Kien Hai"
"U Minh Thượng";"U Minh Thuong"
"Giang Thành";"Giang Thanh"
"Ninh Kiều";"Ninh Kieu"
"Ô Môn";"O Mon"
"Bình Thủy";"Binh Thuy"
"Cái Răng";"Cai Rang"
"Thốt Nốt";"Thot Not"
"Cờ Đỏ";"Co Do"
"Thới Lai";"Thoi Lai"
"Vị Thanh";"Vi Thanh"
"Ngã Bảy";"Nga Bay"
"Châu Thành A";"Chau Thanh A"
"Phụng Hiệp";"Phung Hiep"
"Vị Thủy";"Vi Thuy"
"Long Mỹ";"Long My"
"Trà Vinh";"Tra Vinh"
"Càng Long";"Cang Long"
"Cầu Kè";"Cau Ke"
"Tiểu Cần";"Tieu Can"
"Cầu Ngang";"Cau Ngang"
"Trà Cú";"Tra Cu"
"Duyên Hải";"Duyen Hai"
"Sóc Trăng";"Soc Trang"
"Kế Sách";"Ke Sach"
"Long Phú";"Long Phu"
"Cù Lao Dung";"Cu Lao Dung"
"Mỹ Tú";"My Tu"
"Mỹ Xuyên";"My Xuyen"
"Thạnh Trị";"Thanh Tri"
"Ngã Năm";"Nga Nam"
"Vĩnh Châu";"Vinh Chau"
"Trần Đề";"Tran De"
"Bạc Liêu";"Bac Lieu"
"Hồng Dân";"Hong Dan"
"Vĩnh Lợi";"Vinh Loi"
"Giá Rai";"Gia Rai"
"Đông Hải";"Dong Hai"
"Cà Mau";"Ca Mau"
"Thới Bình";"Thoi Binh"
"U Minh";"U Minh"
"Trần Văn Thời";"Tran Van Thoi"
"Cái Nước";"Cai Nuoc"
"Đầm Dơi";"Dam Doi"
"Ngọc Hiển";"Ngoc Hien"
"Năm Căn";"Nam Can"
"QuanBa Đình";"Ba Dinh"
"QuanTây Hồ";"Tay Ho"
"QuanHoàn Kiếm";"Hoan Kiem"
"QuanHai Bà Trưng";"Hai Ba Trung"
"QuanHoàng Mai";"Hoang Mai"
"QuanĐống Đa";"Dong Da"
"QuanThanh Xuân";"Thanh Xuan"
"QuanCầu Giấy";"Cau Giay"
"QuanLong Biên";"Long Bien"
"Huyen Sóc Sơn";"Soc Son"
"Huyen Đông Anh";"Dong Anh"
"Huyen Gia Lâm";"Gia Lam"
"QuanNam Từ Liêm";"Nam Tu Liem"
"Huyen Thanh Trì";"Thanh Tri"
"QuanHà Đông";"Ha Dong"
